gt,pred
4.900000095367432,4.451033115386963
4.579999923706055,4.328700065612793
4.429999828338623,4.444338798522949
4.920000076293945,4.729723930358887
4.570000171661377,4.5685343742370605
4.599999904632568,4.3007307052612305
5.0,4.729723930358887
4.329999923706055,4.345195770263672
4.579999923706055,4.653839111328125
4.579999923706055,4.695580959320068
4.389999866485596,4.475437164306641
4.71999979019165,4.65962028503418
4.449999809265137,4.587693214416504
4.170000076293945,4.428674697875977
4.559999942779541,4.498594760894775
4.070000171661377,4.220532417297363
4.269999980926514,4.729723930358887
4.730000019073486,4.701432228088379
4.610000133514404,4.318819999694824
4.210000038146973,4.198392868041992
4.630000114440918,4.729723930358887
4.650000095367432,4.592370510101318
4.460000038146973,4.696084499359131
4.760000228881836,4.705131530761719
4.760000228881836,4.729723930358887
4.769999980926514,4.660911560058594
4.78000020980835,4.35501766204834
4.820000171661377,4.594199180603027
4.880000114440918,4.729723930358887
4.389999866485596,4.429519176483154
4.110000133514404,4.5294013023376465
4.840000152587891,4.729723930358887
4.730000019073486,4.729723930358887
4.940000057220459,4.729723930358887
4.860000133514404,4.3609771728515625
4.710000038146973,4.548221588134766
4.71999979019165,4.729723930358887
4.860000133514404,4.727835655212402
5.0,4.590709209442139
3.859999895095825,4.400704383850098
4.789999961853027,4.542391300201416
4.789999961853027,4.6914963722229
4.650000095367432,4.580123424530029
4.139999866485596,4.276582717895508
3.5399999618530273,4.259677410125732
4.309999942779541,4.552898406982422
4.730000019073486,4.6581220626831055
4.909999847412109,4.291606903076172
4.860000133514404,4.681693077087402
4.710000038146973,4.642186641693115
4.5,4.645845890045166
5.0,4.546209335327148
4.139999866485596,4.445352077484131
4.559999942779541,4.617840766906738
4.53000020980835,4.427712440490723
3.930000066757202,4.342565536499023
4.789999961853027,4.528238296508789
4.53000020980835,4.647377014160156
4.889999866485596,4.729723930358887
4.440000057220459,4.242083549499512
4.71999979019165,4.6999006271362305
4.420000076293945,4.140689849853516
